iter	Passed	Remaining
0	0	76
1	1	73
2	2	72
3	2	68
4	3	69
5	4	69
6	5	69
7	5	67
8	6	66
9	7	65
10	8	66
11	8	64
12	9	63
13	10	61
14	10	60
15	11	60
16	12	60
17	13	59
18	13	58
19	14	58
20	15	57
21	16	56
22	16	56
23	17	55
24	18	54
25	18	53
26	19	53
27	20	52
28	21	51
29	21	50
30	22	49
31	23	48
32	23	48
33	24	47
34	25	46
35	25	45
36	26	45
37	27	44
38	28	44
39	28	43
40	29	42
41	30	41
42	31	41
43	31	40
44	32	39
45	33	39
46	34	38
47	34	37
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	41	30
57	41	30
58	42	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	19
72	52	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	64	6
91	64	5
92	65	4
93	66	4
94	66	3
95	67	2
96	67	2
97	68	1
98	68	0
99	69	0
