iter	Passed	Remaining
0	135	135013
1	135	67815
2	136	45409
3	137	34205
4	138	27472
5	138	22989
6	139	19803
7	140	17418
8	141	15550
9	141	14049
10	142	12828
11	143	11806
12	144	10938
13	144	10195
14	145	9555
15	146	8995
16	147	8500
17	147	8062
18	148	7670
19	149	7312
20	149	6985
21	150	6688
22	151	6417
23	151	6175
24	152	5949
25	153	5737
26	153	5541
27	154	5359
28	155	5189
29	155	5031
30	156	4882
31	156	4743
32	157	4615
33	158	4494
34	158	4378
35	159	4269
36	160	4165
37	160	4067
38	161	3973
39	161	3885
40	162	3800
41	163	3720
42	163	3645
43	164	3574
44	165	3505
45	165	3438
46	166	3375
47	167	3315
48	167	3257
49	168	3200
50	169	3145
51	169	3093
52	170	3041
53	170	2995
54	171	2949
55	172	2905
56	172	2861
57	173	2819
58	174	2779
59	174	2740
60	175	2701
61	176	2664
62	176	2628
63	177	2593
64	178	2561
65	178	2528
66	179	2496
67	179	2465
68	180	2435
69	181	2406
70	181	2378
71	182	2351
72	183	2326
73	183	2301
74	184	2276
75	185	2251
76	185	2227
77	186	2203
78	186	2179
79	187	2157
80	188	2135
81	188	2114
82	189	2089
83	190	2073
84	190	2053
85	191	2034
86	192	2015
87	192	1996
88	193	1977
89	193	1959
90	194	1942
91	195	1926
92	196	1911
93	196	1896
94	197	1879
95	197	1863
96	198	1848
97	199	1832
98	199	1817
99	200	1802
100	200	1788
101	201	1775
102	202	1761
103	202	1748
104	203	1735
105	204	1722
106	204	1709
107	205	1696
108	205	1683
109	206	1671
110	207	1660
111	207	1648
112	208	1637
113	209	1627
114	210	1616
115	210	1605
116	211	1594
117	212	1585
118	212	1575
119	213	1565
120	214	1555
121	214	1544
122	215	1535
123	216	1526
124	216	1517
125	217	1509
126	218	1499
127	218	1490
128	219	1481
129	220	1473
130	220	1464
131	221	1456
132	222	1448
133	222	1440
134	223	1432
135	224	1424
136	224	1416
137	225	1409
138	226	1402
139	227	1394
140	227	1386
141	228	1378
142	228	1371
143	229	1364
144	230	1357
145	230	1350
146	231	1343
147	232	1337
148	233	1331
149	233	1324
150	234	1318
151	235	1312
152	236	1306
153	236	1300
154	237	1293
155	237	1287
156	238	1281
157	239	1274
158	240	1269
159	240	1263
160	241	1256
161	241	1251
162	242	1244
163	243	1238
164	243	1233
165	244	1227
166	244	1221
167	245	1216
168	246	1211
169	247	1206
170	247	1200
171	248	1195
172	248	1189
173	249	1184
174	250	1178
175	250	1173
176	251	1168
177	251	1163
178	252	1159
179	253	1154
180	253	1149
181	254	1144
182	255	1138
183	255	1133
184	256	1128
185	256	1124
186	257	1119
187	258	1115
188	258	1111
189	259	1106
190	260	1101
191	260	1097
192	261	1092
193	262	1088
194	262	1084
195	263	1079
196	263	1075
197	264	1071
198	265	1067
199	265	1063
200	266	1059
201	267	1055
202	267	1051
203	268	1047
204	269	1043
205	269	1039
206	270	1035
207	270	1031
208	271	1029
209	272	1025
210	273	1021
211	273	1017
212	274	1013
213	274	1009
214	275	1005
215	276	1002
216	276	998
217	277	995
218	278	991
219	278	988
220	279	984
221	279	980
222	280	977
223	281	973
224	281	970
225	282	966
226	282	963
227	283	959
228	284	956
229	284	953
230	285	950
231	286	946
232	286	943
233	287	940
234	287	936
235	288	933
236	288	930
237	289	927
238	290	924
239	291	921
240	291	918
241	292	915
242	292	912
243	293	909
244	294	906
245	294	903
246	295	900
247	295	896
248	296	894
249	297	891
250	297	888
251	298	885
252	299	882
253	299	879
254	300	877
255	300	874
256	301	871
257	302	868
258	302	865
259	303	863
260	304	860
261	304	858
262	305	855
263	305	852
264	306	850
265	307	847
266	307	844
267	308	842
268	309	839
269	309	837
270	310	835
271	311	832
272	311	829
273	312	827
274	312	824
275	313	822
276	314	819
277	314	817
278	315	814
279	316	812
280	316	810
281	317	808
282	318	805
283	318	803
284	319	800
285	319	798
286	320	796
287	321	793
288	321	791
289	322	789
290	323	787
291	323	784
292	324	782
293	324	780
294	325	777
295	326	775
296	326	773
297	327	770
298	327	768
299	328	766
300	329	764
301	329	762
302	330	760
303	330	757
304	331	755
305	332	753
306	332	751
307	333	749
308	334	747
309	334	745
310	335	743
311	335	740
312	336	738
313	337	736
314	337	734
315	338	732
316	338	730
317	339	728
318	340	726
319	340	724
320	341	722
321	342	720
322	342	718
323	343	715
324	343	713
325	344	711
326	344	709
327	345	707
328	346	705
329	346	703
330	347	702
331	347	700
332	348	698
333	349	696
334	349	694
335	350	692
336	350	690
337	351	688
338	352	686
339	352	684
340	353	682
341	353	681
342	354	679
343	355	677
344	355	675
345	356	673
346	356	671
347	357	669
348	358	667
349	358	666
350	359	664
351	360	663
352	360	661
353	361	659
354	361	657
355	362	656
356	363	654
357	363	652
358	364	650
359	365	649
360	366	647
361	366	646
362	367	644
363	367	642
364	368	641
365	369	639
366	369	637
367	370	636
368	371	634
369	371	633
370	372	631
371	373	630
372	373	628
373	374	626
374	375	625
375	375	623
376	376	622
377	377	620
378	377	619
379	378	617
380	379	616
381	379	614
382	380	613
383	381	611
384	381	610
385	382	608
386	383	606
387	383	605
388	384	603
389	385	602
390	385	600
391	386	599
392	387	598
393	387	596
394	388	595
395	389	593
396	389	592
397	390	590
398	391	589
399	391	587
400	392	586
401	393	584
402	393	583
403	394	581
404	395	580
405	395	578
406	396	577
407	397	576
408	397	574
409	398	573
410	399	571
411	399	570
412	400	569
413	401	567
414	401	566
415	402	564
416	402	563
417	403	562
418	404	560
419	405	559
420	405	557
421	406	556
422	406	554
423	407	553
424	408	552
425	408	550
426	409	549
427	410	548
428	410	546
429	411	545
430	411	543
431	412	542
432	413	541
433	413	539
434	414	538
435	415	536
436	415	535
437	416	534
438	417	532
439	417	531
440	418	530
441	419	529
442	419	527
443	420	526
444	421	525
445	421	523
446	422	522
447	422	521
448	423	519
449	424	518
450	424	517
451	425	515
452	426	514
453	426	513
454	427	511
455	427	510
456	428	509
457	429	507
458	429	506
459	430	505
460	431	504
461	431	502
462	432	501
463	433	500
464	433	498
465	434	497
466	434	496
467	435	495
468	436	494
469	437	492
470	437	491
471	438	490
472	438	489
473	439	487
474	440	486
475	440	485
476	441	483
477	442	482
478	442	481
479	443	480
480	444	479
481	444	477
482	445	476
483	445	475
484	446	474
485	447	472
486	447	471
487	448	470
488	449	469
489	449	468
490	450	467
491	451	465
492	451	464
493	452	463
494	453	462
495	453	460
496	454	459
497	455	458
498	455	457
499	456	456
500	457	455
501	457	454
502	458	452
503	459	451
504	459	450
505	460	449
506	460	448
507	461	447
508	462	445
509	462	444
510	463	443
511	463	442
512	464	441
513	465	440
514	466	438
515	466	437
516	467	436
517	468	435
518	468	434
519	469	433
520	470	432
521	470	431
522	471	429
523	471	428
524	472	427
525	473	426
526	473	425
527	474	424
528	475	423
529	475	421
530	476	420
531	476	419
532	477	418
533	478	417
534	478	416
535	479	414
536	480	413
537	480	412
538	481	411
539	481	410
540	482	409
541	482	408
542	483	406
543	484	405
544	484	404
545	485	403
546	486	402
547	486	401
548	487	400
549	487	399
550	488	398
551	489	396
552	489	395
553	490	394
554	490	393
555	491	392
556	492	391
557	492	390
558	493	389
559	493	388
560	494	387
561	495	385
562	495	384
563	496	383
564	496	382
565	497	381
566	498	380
567	498	379
568	499	378
569	500	377
570	500	376
571	501	375
572	502	374
573	502	373
574	503	371
575	503	370
576	504	369
577	505	368
578	505	367
579	506	366
580	507	365
581	507	364
582	508	363
583	508	362
584	509	361
585	510	360
586	510	359
587	511	358
588	512	357
589	512	356
590	513	355
591	514	354
592	514	353
593	515	352
594	515	351
595	516	350
596	516	348
597	517	347
598	518	346
599	518	345
600	519	344
601	520	343
602	520	342
603	521	341
604	521	340
605	522	339
606	523	338
607	523	337
608	524	336
609	524	335
610	525	334
611	526	333
612	526	332
613	527	331
614	527	330
615	528	329
616	529	328
617	529	327
618	530	326
619	531	325
620	531	324
621	532	323
622	533	322
623	533	321
624	534	320
625	534	319
626	535	318
627	536	317
628	536	316
629	537	315
630	537	314
631	538	313
632	539	312
633	539	311
634	540	310
635	540	309
636	541	308
637	542	307
638	542	306
639	543	305
640	544	304
641	544	303
642	545	302
643	545	301
644	546	300
645	547	299
646	547	298
647	548	297
648	548	296
649	549	295
650	550	294
651	550	293
652	551	293
653	552	292
654	552	291
655	553	290
656	553	289
657	554	288
658	555	287
659	555	286
660	556	285
661	557	284
662	557	283
663	558	282
664	558	281
665	559	280
666	560	279
667	560	278
668	561	277
669	561	276
670	562	275
671	563	275
672	564	274
673	564	273
674	565	272
675	566	271
676	566	270
677	567	269
678	567	268
679	568	267
680	569	266
681	569	265
682	570	264
683	571	263
684	571	262
685	572	261
686	572	261
687	573	260
688	574	259
689	574	258
690	575	257
691	576	256
692	576	255
693	577	254
694	577	253
695	578	252
696	579	251
697	579	250
698	580	249
699	580	248
700	581	248
701	582	247
702	582	246
703	583	245
704	583	244
705	584	243
706	585	242
707	585	241
708	586	240
709	586	239
710	587	238
711	588	237
712	588	236
713	589	236
714	589	235
715	590	234
716	591	233
717	591	232
718	592	231
719	593	230
720	593	229
721	594	228
722	594	227
723	595	227
724	596	226
725	596	225
726	597	224
727	597	223
728	598	222
729	599	221
730	599	220
731	600	219
732	601	218
733	601	218
734	602	217
735	602	216
736	603	215
737	604	214
738	604	213
739	605	212
740	605	211
741	606	210
742	607	210
743	607	209
744	608	208
745	609	207
746	609	206
747	610	205
748	610	204
749	611	203
750	612	202
751	612	202
752	613	201
753	613	200
754	614	199
755	615	198
756	615	197
757	616	196
758	616	195
759	617	195
760	618	194
761	618	193
762	619	192
763	620	191
764	620	190
765	621	189
766	622	188
767	622	188
768	623	187
769	623	186
770	624	185
771	624	184
772	625	183
773	626	182
774	626	181
775	627	181
776	628	180
777	628	179
778	629	178
779	629	177
780	630	176
781	631	175
782	631	175
783	632	174
784	632	173
785	633	172
786	634	171
787	634	170
788	635	169
789	635	169
790	636	168
791	637	167
792	637	166
793	638	165
794	639	164
795	639	163
796	640	163
797	640	162
798	641	161
799	642	160
800	642	159
801	643	158
802	643	157
803	644	157
804	645	156
805	645	155
806	646	154
807	647	153
808	647	152
809	648	152
810	649	151
811	649	150
812	650	149
813	650	148
814	651	147
815	652	147
816	652	146
817	653	145
818	654	144
819	654	143
820	655	142
821	655	142
822	656	141
823	657	140
824	657	139
825	658	138
826	659	137
827	659	137
828	660	136
829	660	135
830	661	134
831	662	133
832	662	132
833	663	132
834	664	131
835	664	130
836	665	129
837	665	128
838	666	127
839	667	127
840	667	126
841	668	125
842	668	124
843	669	123
844	670	122
845	670	122
846	671	121
847	672	120
848	672	119
849	673	118
850	673	118
851	674	117
852	675	116
853	675	115
854	676	114
855	677	113
856	677	113
857	678	112
858	678	111
859	679	110
860	680	109
861	680	108
862	681	108
863	681	107
864	682	106
865	683	105
866	683	104
867	684	104
868	684	103
869	685	102
870	686	101
871	686	100
872	687	99
873	687	99
874	688	98
875	689	97
876	689	96
877	690	95
878	691	95
879	691	94
880	692	93
881	693	92
882	693	91
883	694	91
884	695	90
885	695	89
886	696	88
887	697	87
888	697	87
889	698	86
890	699	85
891	699	84
892	700	83
893	701	83
894	701	82
895	702	81
896	703	80
897	704	79
898	704	79
899	705	78
900	706	77
901	706	76
902	707	75
903	708	75
904	708	74
905	709	73
906	710	72
907	710	72
908	711	71
909	712	70
910	712	69
911	713	68
912	714	68
913	714	67
914	715	66
915	716	65
916	716	64
917	717	64
918	718	63
919	718	62
920	719	61
921	720	60
922	720	60
923	721	59
924	722	58
925	722	57
926	723	56
927	724	56
928	724	55
929	725	54
930	726	53
931	726	53
932	727	52
933	728	51
934	728	50
935	729	49
936	730	49
937	731	48
938	731	47
939	732	46
940	733	45
941	733	45
942	734	44
943	735	43
944	735	42
945	736	42
946	736	41
947	737	40
948	738	39
949	738	38
950	739	38
951	739	37
952	740	36
953	741	35
954	741	34
955	742	34
956	742	33
957	743	32
958	744	31
959	744	31
960	745	30
961	746	29
962	746	28
963	747	27
964	747	27
965	748	26
966	749	25
967	750	24
968	750	24
969	751	23
970	752	22
971	752	21
972	753	20
973	754	20
974	754	19
975	755	18
976	756	17
977	756	17
978	757	16
979	757	15
980	758	14
981	759	13
982	759	13
983	760	12
984	761	11
985	761	10
986	762	10
987	762	9
988	763	8
989	764	7
990	764	6
991	765	6
992	766	5
993	766	4
994	767	3
995	768	3
996	768	2
997	769	1
998	769	0
999	770	0
